subjID	trial	choice	RT
1	2	1	0.41124499996658415
1	4	1	0.5653450000099838
1	8	1	0.8885100000188686
1	9	1	0.7553049999987707
1	13	1	0.7467049999977462
1	16	1	0.862970000016503
1	19	1	0.3502849999931641
1	22	1	0.4766600000439212
1	25	1	0.6669650000403635
1	26	1	0.7194000000017695
1	27	1	0.6100849999929778
1	32	1	0.6848849999951199
1	40	1	0.4792349999770522
1	44	1	1.2026850000256673
1	46	1	0.4813300000387244
1	48	1	0.3680600000079721
1	51	1	0.4951700000092387
1	53	1	0.7270900000003166
1	54	1	0.4347750000306405
1	56	1	0.8359100000234321
1	57	1	0.4648600000073202
1	60	1	0.8127150000073016
1	65	2	0.775980000034906
1	68	2	0.7422150000347756
1	72	2	0.7774900000076741
1	76	1	0.8481649999739602
1	80	1	0.707120000035502
1	82	2	0.9179199999780394
1	85	2	0.7989800000214018
1	86	2	0.927155000041239
1	90	1	1.0032200000132434
1	93	1	0.9419200000120328
1	98	2	0.8883100000093691
1	101	2	0.9177899999776856
1	104	1	0.9814650000189432
1	109	2	0.7122849999577738
1	112	1	0.6756099999765866
1	115	1	0.6145899999537505
1	118	1	0.6097099999897182
1	120	1	0.5813649999909103
2	2	1	0.48935499996878207
2	4	1	0.41459499998018146
2	8	1	0.4719000000040978
2	9	1	0.518999999971129
2	13	2	0.5664899999974295
2	16	2	0.560715000028722
2	19	2	0.4251550000626594
2	22	1	0.510634999955073
2	25	1	0.31501500005833805
2	26	2	0.767494999920018
2	27	2	0.6031550000188872
2	32	2	0.8973199999891222
2	40	1	1.3440949999494478
2	44	1	1.471070000086911
2	46	1	1.3384450000012291
2	48	1	1.5572599999140948
2	51	1	1.413109999964945
2	53	1	1.384749999968335
2	54	1	1.312195000005886
2	56	1	1.3638250000076368
2	57	1	1.3086349999066442
2	60	1	1.551175000029616
2	65	2	1.5134750000433996
2	68	1	1.5199850000208244
2	72	2	1.506169999949634
2	76	2	1.3453550001140684
2	80	1	1.2327100000111386
2	82	1	1.4068050000350922
2	85	1	1.2470449999673292
2	86	1	1.3423450000118464
2	90	1	1.2471950000617653
2	93	1	1.377500000060536
2	98	1	1.266414999961853
2	101	1	1.314905000035651
2	104	1	1.4627300000283867
2	109	1	1.2838899999624118
2	112	1	1.357315000030212
2	115	2	1.3192099999869242
2	118	1	1.347940000006929
2	120	1	1.260149999987334
3	2	1	0.559345000074245
3	4	1	0.45215500006452203
3	8	1	0.362749999971129
3	9	2	0.68430500000249594
3	13	2	0.5255850000539795
3	16	2	0.831209999974817
3	19	1	0.44473999994806945
3	22	1	0.4690949999494478
3	25	1	0.4364300000015646
3	26	2	0.5964500000700355
3	27	1	0.7910649999976158
3	32	2	0.5760050000390038
3	44	1	0.6299349999753758
3	46	2	0.4472500000847503
3	48	2	0.7628299999050796
3	51	2	0.4126049999613315
3	53	2	0.5596049999585375
3	54	1	0.692200000048615
3	56	2	0.4908150000264868
3	57	2	0.5118200000142679
3	60	2	0.396269999910146
3	65	2	0.5113150000106543
3	68	1	0.7929449999937788
3	72	2	0.4583050000946969
3	76	2	0.7540049999952316
3	80	2	0.6204950000392273
3	82	2	0.5890099999960512
3	85	2	0.48757999995723367
3	86	2	0.8408249999629334
3	90	1	0.5202049999497831
3	93	2	0.5695449999766424
3	98	2	0.6010900000110269
3	101	2	0.3691549999639392
3	104	1	0.7741099999984726
3	109	2	0.4625399999786168
3	112	2	0.6361150000011548
3	115	2	0.420564999920316
3	118	1	0.6694750000024214
3	120	1	0.32199999992735684
4	2	1	0.689
4	4	1	0.535
4	8	1	0.7
4	9	2	1.246
4	13	2	0.657
4	16	1	0.743
4	19	1	0.814
4	22	1	0.738
4	25	1	0.949
4	26	1	0.894
4	27	1	0.493
4	32	1	0.724
4	40	1	0.889
4	44	1	0.684
4	46	1	0.76
4	48	1	0.809
4	51	1	0.685
4	53	2	0.579
4	54	1	0.788
4	56	1	0.928
4	57	1	0.624
4	60	1	0.841
4	65	1	0.637
4	68	2	1.02
4	72	2	0.481
4	76	1	0.702
4	80	2	0.649
4	82	2	0.545
4	85	1	0.512
4	86	1	1.011
4	90	1	0.984
4	93	1	0.392
4	98	1	1.131
4	101	1	0.824
4	104	2	0.574
4	109	1	0.813
4	112	1	0.719
4	115	1	0.728
4	118	2	0.676
4	120	2	0.746
5	2	2	0.4380549999768846
5	4	1	0.408289999992121
5	8	2	0.5009500000160187
5	9	2	0.4708749999990687
5	13	2	0.4884500000043772
5	16	1	0.6296399999991991
5	19	1	0.40794499998446554
5	22	1	0.3931999999913387
5	25	1	0.47655500000109896
5	26	1	0.6260349999938626
5	27	2	0.6190550000173971
5	32	1	0.46627500001341105
5	40	1	0.42673500001546927
5	44	1	0.866665000008652
5	46	1	0.3987100000085775
5	48	1	0.6602950000087731
5	51	1	0.4577299999946262
5	53	2	0.815984999993816
5	54	1	0.686535000015283
5	56	1	0.3619999999937136
5	57	1	0.7265199999965262
5	60	1	0.4196949999895878
5	65	1	0.5496600000187755
5	68	1	0.6343650000053458
5	72	1	0.6282449999998789
5	76	1	0.5509200000087731
5	80	1	0.4479500000015833
5	82	1	0.5318850000039674
5	85	1	0.4042349999945145
5	86	1	0.3915250000136439
5	90	2	0.5770300000149291
5	93	2	0.4871500000008382
5	98	1	0.5434599999862257
5	101	1	0.4745100000000093
5	104	1	0.45992999998270534
5	109	1	0.4407899999932851
5	112	2	0.7424999999930151
5	115	1	0.6410650000034366
5	118	2	0.6530999999959022
5	120	1	0.7790049999894109
6	2	1	1.3782399999909103
6	4	1	0.6693400000222027
