subjID	trial	cue	keyPressed	outcome
P1	1	3	0	0
P1	2	1	0	-1
P1	3	3	0	0
P1	4	3	0	0
P1	5	1	0	-1
P1	6	4	0	0
P1	7	2	0	1
P1	8	4	0	0
P1	9	1	0	-1
P1	10	3	0	0
P1	11	1	0	-1
P1	12	3	0	0
P1	13	3	0	0
P1	14	4	0	0
P1	15	2	0	0
P1	16	4	0	0
P1	17	2	0	1
P1	18	3	0	0
P1	19	4	0	0
P1	20	4	0	-1
P1	21	1	0	-1
P1	22	3	0	1
P1	23	2	0	0
P1	24	2	0	1
P1	25	3	1	0
P1	26	1	1	-1
P1	27	3	1	1
P1	28	1	1	0
P1	29	4	1	-1
P1	30	3	0	1
P1	31	1	0	-1
P1	32	3	0	0
P1	33	2	0	1
P1	34	4	0	0
P1	35	2	0	1
P1	36	3	0	0
P1	37	2	0	1
P1	38	1	0	0
P1	39	3	0	1
P1	40	1	0	-1
P1	41	2	0	1
P1	42	3	0	1
P1	43	3	0	0
P1	44	3	0	0
P1	45	3	1	0
P1	46	1	0	-1
P1	47	4	0	0
P1	48	2	0	1
P1	49	3	0	0
P1	50	2	0	0
P1	51	1	0	-1
P1	52	1	0	-1
P1	53	3	0	0
P1	54	3	0	0
P1	55	2	0	1
P1	56	4	0	0
P1	57	2	0	1
P1	58	1	0	-1
P1	59	2	1	0
P1	60	4	1	-1
P1	61	3	1	0
P1	62	4	0	0
P1	63	2	0	1
P1	64	3	1	0
P1	65	3	0	1
P1	66	4	1	-1
P1	67	4	1	-1
P1	68	2	0	1
P1	69	1	0	-1
P1	70	1	0	-1
P1	71	2	0	1
P1	72	1	0	-1
P1	73	4	0	-1
P1	74	1	0	-1
P1	75	2	0	1
P1	76	4	0	0
P1	77	4	0	0
P1	78	1	0	-1
P1	79	2	0	1
P1	80	2	1	0
P1	81	1	0	-1
P1	82	1	1	-1
P1	83	1	0	-1
P1	84	2	0	0
P1	85	4	0	0
P1	86	2	0	1
P1	87	2	0	1
P1	88	1	0	0
P1	89	4	0	-1
P1	90	4	0	-1
P1	91	2	0	1
P1	92	2	0	1
P1	93	4	0	0
P1	94	2	0	1
P1	95	4	0	-1
P1	96	4	0	0
P1	97	2	0	1
P1	98	3	1	1
P1	99	4	0	-1
P1	100	4	0	0
P1	101	4	0	0
P1	102	3	0	0
P1	103	1	0	0
P1	104	4	0	0
P1	105	4	0	0
P1	106	2	0	1
P1	107	2	0	0
P1	108	1	0	-1
P1	109	1	0	0
P1	110	4	1	-1
P1	111	2	1	0
P1	112	4	0	0
P1	113	3	0	0
P1	114	1	0	-1
P1	115	3	1	0
P1	116	4	0	0
P1	117	3	0	0
P1	118	4	0	0
P1	119	1	0	-1
P1	120	4	0	-1
P1	121	3	0	0
P1	122	4	0	0
P1	123	1	0	-1
P1	124	2	0	0
P1	125	1	0	-1
P1	126	1	1	0
P1	127	1	0	-1
P1	128	3	0	0
P1	129	2	0	0
P1	130	3	0	1
P1	131	3	0	0
P1	132	1	0	-1
P1	133	1	0	0
P1	134	4	0	0
P1	135	3	0	0
P1	136	3	0	0
P1	137	2	0	1
P1	138	1	1	0
P1	139	2	1	0
P1	140	1	0	0
P1	141	4	0	0
P1	142	1	0	-1
P1	143	3	0	0
P1	144	2	0	1
P1	145	1	0	-1
P1	146	2	0	1
P1	147	2	1	0
P1	148	3	0	0
P1	149	3	0	1
P1	150	1	0	-1
P1	151	2	1	1
P1	152	4	1	-1
P1	153	4	1	0
P1	154	1	0	-1
P1	155	4	0	0
P1	156	3	1	0
P1	157	2	0	1
P1	158	3	0	0
P1	159	4	0	0
P1	160	2	0	1
P2	1	1	0	-1
P2	2	3	1	1
P2	3	1	1	0
P2	4	4	1	-1
P2	5	1	1	0
P2	6	2	1	0
P2	7	2	1	0
P2	8	3	1	0
P2	9	1	1	0
P2	10	4	1	-1
P2	11	3	1	0
P2	12	2	1	0
P2	13	1	1	0
P2	14	3	1	1
P2	15	4	0	-1
P2	16	3	1	1
P2	17	3	1	1
P2	18	2	1	0
P2	19	3	1	1
P2	20	3	1	1
P2	21	4	1	-1
P2	22	4	0	0
P2	23	1	1	0
P2	24	4	0	0
P2	25	1	1	0
P2	26	2	1	0
P2	27	1	1	0
P2	28	3	1	1
P2	29	3	1	1
P2	30	3	1	1
P2	31	2	1	0
P2	32	1	1	-1
P2	33	3	1	0
P2	34	4	0	-1
P2	35	3	1	1
P2	36	1	1	0
P2	37	1	1	0
P2	38	4	0	0
P2	39	2	1	0
P2	40	3	1	1
P2	41	2	1	0
P2	42	3	1	1
P2	43	1	1	0
P2	44	4	0	0
P2	45	3	1	1
P2	46	2	1	0
P2	47	3	1	1
P2	48	1	1	0
P2	49	2	1	0
P2	50	1	1	0
P2	51	4	0	-1
